nama_asli,nama_kanonik,dasar,perlu_tinjau,pendaftaran
PT. CENTA BRASINDO ABADI CHEMICAL INDUSTRY,PT. CENTA BRASINDO ABADI CHEMICAL INDUSTRY,kanonik,,216
PT. RAINBOW AGROSCIENCES,PT. RAINBOW AGROSCIENCES,kanonik,,182
PT. SARI KRESNA KIMIA,PT. SARI KRESNA KIMIA,kanonik,,162
PT. TIGA MUARA EMAS MAKMUR,PT. TIGA MUARA EMAS MAKMUR,kanonik,,149
PT. SINAR GENERAL INDUSTRIES,PT. SINAR GENERAL INDUSTRIES,kanonik,,146
PT. MULTI SARANA INDOTANI,PT. MULTI SARANA INDOTANI,kanonik,,138
PT. DELTA GIRI WACANA,PT. DELTA GIRI WACANA,kanonik,,129
PT. PRIMA KARYA BERJAYA,PT. PRIMA KARYA BERJAYA,kanonik,,102
MEST INDONESIY,PT. MEST INDONESIY,ejaan/kapitalisasi/spasi,,100
PT. DELTAGRO MULIA SEJATI,PT. DELTAGRO MULIA SEJATI,kanonik,,91
PT. SYNGENTA INDONESIA,PT. SYNGENTA INDONESIA,kanonik,,89
CV. SAPROTAN UTAMA,CV. SAPROTAN UTAMA,kanonik,,87
PT. ADVANSIA INDOTANI,PT. ADVANSIA INDOTANI,kanonik,,86
BEHN MEYER AGRICARE,PT. BEHN MEYER AGRICARE,ejaan/kapitalisasi/spasi,,83
PT. PETROSIDA GRESIK,PT. Petrosida Gresik,ejaan/kapitalisasi/spasi,,81
PT. PETROKIMIA KAYAKU,PT Petrokimia Kayaku,tanda-baca,,80
PT. UPL INDONESIA,PT. UPL INDONESIA,kanonik,,78
PT.MEROKE TETAP JAYA,PT.MEROKE TETAP JAYA,kanonik,,77
PT. MAXXI AGRI INDONESIA,PT. MAXXI AGRI INDONESIA,kanonik,,74
PT. KENSO INDONESIA,PT. KENSO INDONESIA,kanonik,,71
PETROKIMIA GRESIK,PT Petrokimia Gresik,ejaan/kapitalisasi/spasi,,70
PT. REJEKI INDO AGROTEC,PT. REJEKI INDO AGROTEC,kanonik,,70
CV. AGRO JAYA INDONESIA,CV. AGRO JAYA INDONESIA,kanonik,,69
SAPROTAN UTAMA,CV. SAPROTAN UTAMA,ejaan/kapitalisasi/spasi,,66
PT. BIOTIS AGRINDO,PT. BIOTIS AGRINDO,kanonik,,65
PT. INDOIN BUSINESS GROUP,PT. INDOIN BUSINESS GROUP,kanonik,,65
PT. Agro Bumi Timur,PT. Agro Bumi Timur,kanonik,,64
PT. DHARMA GUNA WIBAWA,PT. DHARMA GUNA WIBAWA,kanonik,,64
MEROKE TETAP JAYA,PT.MEROKE TETAP JAYA,ejaan/kapitalisasi/spasi,,64
PT. BINA GUNA KIMIA,PT. BINA GUNA KIMIA,kanonik,,63
PT. BAYER INDONESIA,PT. Bayer Indonesia,ejaan/kapitalisasi/spasi,,63
PT. MAJU MAKMUR UTOMO,PT. Maju Makmur Utomo,ejaan/kapitalisasi/spasi,,58
MULTI NIAGA NUSANTARA INDONESIA,PT. MULTI NIAGA NUSANTARA INDONESIA,ejaan/kapitalisasi/spasi,,57
PT. AGRICULTURE CONSTRUCTION,PT. AGRICULTURE CONSTRUCTION,kanonik,,56
PT. ETONG CHEMICAL INDONESIA,PT. ETONG CHEMICAL INDONESIA,kanonik,,56
PT. CATUR AGRODAYA MANDIRI,PT. CATUR AGRODAYA MANDIRI,kanonik,,54
PERMATA AGRO PERSADA,PT. Permata Agro Persada,ejaan/kapitalisasi/spasi,,53
MAJU MAKMUR UTOMO,PT. Maju Makmur Utomo,ejaan/kapitalisasi/spasi,,52
PT. BEHN MEYER AGRICARE,PT. BEHN MEYER AGRICARE,kanonik,,51
PT. ROYAL AGRO INDONESIA,PT. ROYAL AGRO INDONESIA,kanonik,,51
SANTANI SEJAHTERA,PT. SANTANI SEJAHTERA,ejaan/kapitalisasi/spasi,,51
SENTANA ADIDAYA PRATAMA,PT. SENTANA ADIDAYA PRATAMA,ejaan/kapitalisasi/spasi,,49
SASCO INDONESIA,PT. Sasco Indonesia,ejaan/kapitalisasi/spasi,,48
CV. MULTI AGRO JAYA UTAMA,CV. Multi Agro Jaya Utama,ejaan/kapitalisasi/spasi,,46
DHARMA AYU TANI,PT. Dharma Ayu Tani,ejaan/kapitalisasi/spasi,,45
SAPROTAN UTAMA NUSANTARA,PT. SAPROTAN UTAMA NUSANTARA,ejaan/kapitalisasi/spasi,,45
RAJA GROUP INDONESIA,PT. RAJA GROUP INDONESIA,ejaan/kapitalisasi/spasi,,43
CIPTA MAKMUR PERTIWI,PT. Cipta Makmur Pertiwi,ejaan/kapitalisasi/spasi,,41
JADI MAS,PT JADI MAS,ejaan/kapitalisasi/spasi,,40
PT. INDAGRO,PT. INDAGRO,kanonik,,40
MULTI SARANA INDOTANI,PT. MULTI SARANA INDOTANI,ejaan/kapitalisasi/spasi,,40
WILMAR CHEMICAL INDONESIA,PT. WILMAR CHEMICAL INDONESIA,ejaan/kapitalisasi/spasi,,40
KERTOPATEN KENCANA,PT Kertopaten Kencana,ejaan/kapitalisasi/spasi,,38
AGROFARM NUSA RAYA,PT. Agrofarm Nusa Raya,ejaan/kapitalisasi/spasi,,37
PT. MITRA KREASIDHARMA,PT. MITRA KREASIDHARMA,kanonik,,37
PT. MEST INDONESIY,PT. MEST INDONESIY,kanonik,,34
PT. KRISTALINDO KARUNIA INTERNASIONAL,PT. Kristalindo Karunia Internasional,ejaan/kapitalisasi/spasi,,33
AGROTAMA TUNAS SARANA,PT. Agrotama Tunas Sarana,ejaan/kapitalisasi/spasi,,32
PUPUK KALIMANTAN TIMUR,PT Pupuk Kalimantan Timur,ejaan/kapitalisasi/spasi,,31
PT. ARTHA MAKMUR ABADI,PT. ARTHA MAKMUR ABADI,kanonik,,31
PT. ROLIMEX KIMIA NUSAMAS,PT. Rolimex Kimia Nusamas,ejaan/kapitalisasi/spasi,,31
PT. TANAMAN MAKMUR MANDIRI,PT. TANAMAN MAKMUR MANDIRI,kanonik,,31
CV. SARAREA PANEN RAYA,CV. SARAREA PANEN RAYA,kanonik,,30
PUPUT TANI MANDIRI,PT. PUPUT TANI MANDIRI,ejaan/kapitalisasi/spasi,,29
ANTARIKSA NUSANTARA INDONESIA GROUP,PT.Antariksa Nusantara Indonesia Group,ejaan/kapitalisasi/spasi,,29
UD Primagro,UD Primagro,kanonik,,29
PT AGRI HIKAY INDONESIA,PT AGRI HIKAY INDONESIA,kanonik,,28
PT. SAPROTAN UTAMA NUSANTARA,PT. SAPROTAN UTAMA NUSANTARA,kanonik,,28
CV. ARTHA BUANA MANDIRI,CV. ARTHA BUANA MANDIRI,kanonik,,27
PT. AGROTECH PESTICIDE INDUSTRY,PT. AGROTECH PESTICIDE INDUSTRY,kanonik,,27
PT. ASIA GALA KIMIA,PT. ASIA GALA KIMIA,kanonik,,26
DUPAN ANUGERAH LESTARI,PT. Dupan Anugerah Lestari,ejaan/kapitalisasi/spasi,,26
NUSA PALAPA GEMILANG,PT. NUSA PALAPA GEMILANG,ejaan/kapitalisasi/spasi,,26
PT. SANTANI AGRO MANDIRI,PT. SANTANI AGRO MANDIRI,kanonik,,26
PUPUK KUJANG,PT Pupuk Kujang,ejaan/kapitalisasi/spasi,,25
DITYA CHEMINDO,PT. DITYA CHEMINDO,ejaan/kapitalisasi/spasi,,25
DYRIZ INDONESIA,PT. DYRIZ INDONESIA,ejaan/kapitalisasi/spasi,,25
PRIMA AGRO TECH,PT. PRIMA AGRO TECH,ejaan/kapitalisasi/spasi,,25
PT. Permata Agro Persada,PT. Permata Agro Persada,kanonik,,25
PETROSIDA GRESIK,PT. Petrosida Gresik,ejaan/kapitalisasi/spasi,,25
JAVAMAS AGROPHOS,CV. Javamas Agrophos,ejaan/kapitalisasi/spasi,,24
AGRO TRADISI,PT. AGRO TRADISI,ejaan/kapitalisasi/spasi,,24
PT. HANAMPI SEJAHTERA KAHURIPAN,PT. HANAMPI SEJAHTERA KAHURIPAN,kanonik,,24
CV. GRAHA AGRO,CV. GRAHA AGRO,kanonik,,23
GREENLIFE BIOSCIENCE,PT Greenlife Bioscience,ejaan/kapitalisasi/spasi,,23
PT. SENTANA ADIDAYA PRATAMA,PT. SENTANA ADIDAYA PRATAMA,kanonik,,23
HANAMPI SEJAHTERA KAHURIPAN,PT. HANAMPI SEJAHTERA KAHURIPAN,ejaan/kapitalisasi/spasi,,22
PT. Sasco Indonesia,PT. Sasco Indonesia,kanonik,,22
CV. GRAHA AGRITECH PRIMA,CV. GRAHA AGRITECH PRIMA,kanonik,,21
MULYO TANI MAKMUR,CV. Mulyo Tani Makmur,beda-bentuk-badan,ya,21
PT. HANEARL SCIENCE INDONESIA,PT. HANEARL SCIENCE INDONESIA,kanonik,,21
PT. TANI MAS SUBUR,PT. TANI MAS SUBUR,kanonik,,21
AGRO JAYA INDONESIA,CV. AGRO JAYA INDONESIA,ejaan/kapitalisasi/spasi,,20
TRUBUS PRIMA,CV. TRUBUS PRIMA,ejaan/kapitalisasi/spasi,,20
ANUGERAH PUPUK MAKMUR,PT ANUGERAH PUPUK MAKMUR,ejaan/kapitalisasi/spasi,,20
PT. EXINDO RAHARJA PRATAMA,PT Exindo Raharja Pratama,tanda-baca,,20
KALATHAM,PT Kalatham,ejaan/kapitalisasi/spasi,,20
PT. MESTIKA NUSANTARA AGROKIMIA,PT. MESTIKA NUSANTARA AGROKIMIA,kanonik,,20
PT. SUMANS MANDIRI SEJAHTERA,PT. SUMANS MANDIRI SEJAHTERA,kanonik,,20
PT. WILMAR CHEMICAL INDONESIA,PT. WILMAR CHEMICAL INDONESIA,kanonik,,20
PT. AGRO GUNA MAKMUR,PT. AGRO GUNA MAKMUR,kanonik,,19
PT. JAWA AGRINDO INTERNASIONAL,PT. JAWA AGRINDO INTERNASIONAL,kanonik,,19
KRISTALINDO KARUNIA INTERNASIONAL,PT. Kristalindo Karunia Internasional,ejaan/kapitalisasi/spasi,,19
MAXXI AGRI INDONESIA,PT. MAXXI AGRI INDONESIA,ejaan/kapitalisasi/spasi,,19
SARI KRESNA KIMIA,PT. SARI KRESNA KIMIA,ejaan/kapitalisasi/spasi,,19
PT. SUNJOY AGRO INDONESIA,PT. SUNJOY AGRO INDONESIA,kanonik,,19
PT Bumi Indo Raharja,PT Bumi Indo Raharja,kanonik,,18
AGRO BERJAYA NUSANTARA,PT. Agro Berjaya Nusantara,ejaan/kapitalisasi/spasi,,18
ANUGERAH PUPUK LESTARI,PT. Anugerah Pupuk Lestari,ejaan/kapitalisasi/spasi,,18
ARTHA PRIMA HUMATINDO,PT. Artha Prima Humatindo,ejaan/kapitalisasi/spasi,,18
PT. RABANA AGRO RESOURCES,PT. RABANA AGRO RESOURCES,kanonik,,18
PT. TANGGUH AGRO NUSA INDONESIA,PT. TANGGUH AGRO NUSA INDONESIA,kanonik,,18
MUTIARA KERATON JIMMY&CO TRANS BISNIS INDONESIA,CV. MUTIARA KERATON JIMMY&CO TRANS BISNIS INDONESIA,ejaan/kapitalisasi/spasi,,17
PT Petrokimia Gresik,PT Petrokimia Gresik,kanonik,,17
PT. AGRO TRADISI,PT. AGRO TRADISI,kanonik,,17
GOAUTAMA SINARBATUAH,PT. GOAUTAMA SINARBATUAH,ejaan/kapitalisasi/spasi,,17
LAKU AGUNG BAHAGIA INDONESIA,PT. Laku Agung Bahagia Indonesia,ejaan/kapitalisasi/spasi,,17
PT. ZENITH CROPSCIENCES INDONESIA,PT. ZENITH CROPSCIENCES INDONESIA,kanonik,,17
NUSA NUR AGRO,CV. Nusa Nur Agro,ejaan/kapitalisasi/spasi,,16
PETROKIMIA KAYAKU,PT Petrokimia Kayaku,ejaan/kapitalisasi/spasi,,16
PT. AGRO NATURAL TECHNOLOGY,PT. AGRO NATURAL TECHNOLOGY,kanonik,,16
PT. ARYSTA LIFESCIENCE TIRTA,PT. ARYSTA LIFESCIENCE TIRTA,kanonik,,16
ECO AGRO MANDIRI,PT. ECO AGRO MANDIRI,ejaan/kapitalisasi/spasi,,16
MESTIKA KARUNIA UTAMA,PT. MESTIKA KARUNIA UTAMA,ejaan/kapitalisasi/spasi,,16
CV. DELTA CHEMICA,CV. DELTA CHEMICA,kanonik,,15
CARLINDO SERASI ABADI,PT Carlindo Serasi Abadi,ejaan/kapitalisasi/spasi,,15
PT JADI MAS,PT JADI MAS,kanonik,,15
PT. JIVA AGRICULTURE INDONESIA,PT. JIVA AGRICULTURE INDONESIA,kanonik,,15
PT. PRIMA AGRO TECH,PT. PRIMA AGRO TECH,kanonik,,15
ROLIMEX KIMIA NUSAMAS,PT. Rolimex Kimia Nusamas,ejaan/kapitalisasi/spasi,,15
SARAREA PANEN RAYA,CV. SARAREA PANEN RAYA,ejaan/kapitalisasi/spasi,,14
SINAR SURYA,CV. Sinar Surya,ejaan/kapitalisasi/spasi,,14
PT Pupuk Kalimantan Timur,PT Pupuk Kalimantan Timur,kanonik,,14
AGRO NUSANTARA INDONESIA,PT. Agro Nusantara Indonesia,ejaan/kapitalisasi/spasi,,14
CENTRA BIOTECH INDONESIA,PT. CENTRA BIOTECH INDONESIA,ejaan/kapitalisasi/spasi,,14
PT. INTER AGRO INDONESIA,PT. INTER AGRO INDONESIA,kanonik,,14
PT. MAKMUR JAYA AGRO,PT. MAKMUR JAYA AGRO,kanonik,,14
PT. Parama Agroindustri Danapati,PT. Parama Agroindustri Danapati,kanonik,,14
PT. SAFE CHEMICAL INDONESIA,PT. SAFE CHEMICAL INDONESIA,kanonik,,14
AGRO NUSA INDAH,CV. Agro Nusa Indah,ejaan/kapitalisasi/spasi,,13
CV. BOMA SAKTI TANI,CV. BOMA SAKTI TANI,kanonik,,13
SAFA AGROTEK INDONESIA,PT SAFA AGROTEK INDONESIA,ejaan/kapitalisasi/spasi,,13
BUMI SUBUR SENTOSA,PT. Bumi Subur Sentosa,ejaan/kapitalisasi/spasi,,13
PT. Cipta Makmur Pertiwi,PT. Cipta Makmur Pertiwi,kanonik,,13
PT. Dharma Ayu Tani,PT. Dharma Ayu Tani,kanonik,,13
PT. ECO AGRO MANDIRI,PT. ECO AGRO MANDIRI,kanonik,,13
PT. NUSA MANDIRI UTAMA,PT. Nusa Mandiri Utama,ejaan/kapitalisasi/spasi,,13
POLOWIJO GOSARI,PT. Polowijo Gosari,ejaan/kapitalisasi/spasi,,13
SANTANI AGRO LESTARI,PT. SANTANI AGRO LESTARI,ejaan/kapitalisasi/spasi,,13
PT. SANTANI SEJAHTERA,PT. SANTANI SEJAHTERA,kanonik,,13
ASIA KIMINDO PRIMA,PT. ASIA KIMINDO PRIMA,ejaan/kapitalisasi/spasi,,12
PRIMA KARYA BERJAYA,PT. PRIMA KARYA BERJAYA,ejaan/kapitalisasi/spasi,,12
PT. Rolimex Kimia Nusamas,PT. Rolimex Kimia Nusamas,kanonik,,12
PT. TAPAL KOEDA INDONESIA,PT. TAPAL KOEDA INDONESIA,kanonik,,12
PT. TRITAMA WIRAKARSA,PT. TRITAMA WIRAKARSA,kanonik,,12
MITRA MERDEKA TANI,UD. Mitra Merdeka Tani,ejaan/kapitalisasi/spasi,,12
MITRA TANI ABADI JAYA,CV.MITRA TANI ABADI JAYA,ejaan/kapitalisasi/spasi,,11
CHEIL JEDANG INDONESIA,PT CHEIL JEDANG INDONESIA,ejaan/kapitalisasi/spasi,,11
PROSPER BIOTECH INDONESIA,PT Prosper Biotech Indonesia,ejaan/kapitalisasi/spasi,,11
PT. Agrotama Tunas Sarana,PT. Agrotama Tunas Sarana,kanonik,,11
PT. Maju Makmur Utomo,PT. Maju Makmur Utomo,kanonik,,11
MULTIDAYA PUTRA SEJAHTERA,PT. Multidaya Putra Sejahtera,ejaan/kapitalisasi/spasi,,11
SINAR GENERAL INDUSTRIES,PT. SINAR GENERAL INDUSTRIES,ejaan/kapitalisasi/spasi,,11
WAHANA PUNDIKARSA ABADI,PT. WAHANA PUNDIKARSA ABADI,ejaan/kapitalisasi/spasi,,11
UD. PRIMAGRO,UD Primagro,tanda-baca,,11
SUMBER AGUNG JAYA,CV. Sumber Agung Jaya,ejaan/kapitalisasi/spasi,,10
MITRA TANI ABADI,CV.Mitra Tani Abadi,ejaan/kapitalisasi/spasi,,10
BUMI INDO RAHARJA,PT Bumi Indo Raharja,beda-bentuk-badan,ya,10
GREEN PLANET INDONESIA,PT GREEN PLANET INDONESIA,ejaan/kapitalisasi/spasi,,10
PUPUK SRIWIDJAJA PALEMBANG,PT PUPUK SRIWIDJAJA PALEMBANG,ejaan/kapitalisasi/spasi,,10
PT Pupuk Iskandar Muda,PT Pupuk Iskandar Muda,kanonik,,10
PT. AZELIS INDONESIA DISTRIBUSI,PT. AZELIS INDONESIA DISTRIBUSI,kanonik,,10
GALATTA LESTARINDO,PT. GALATTA LESTARINDO,ejaan/kapitalisasi/spasi,,10
INDORAYA MITRA PERSADA SERATUS ENAM PULUH DELAPAN,PT. INDORAYA MITRA PERSADA SERATUS ENAM PULUH DELAPAN,ejaan/kapitalisasi/spasi,,10
PT. Nusa Mandiri Utama,PT. Nusa Mandiri Utama,kanonik,,10
PT. ORCHID GLOBAL MAKMUR,PT. ORCHID GLOBAL MAKMUR,kanonik,,10
TANAMAN MAKMUR MANDIRI,PT. TANAMAN MAKMUR MANDIRI,ejaan/kapitalisasi/spasi,,10
UTOMO UTOMO,PT. UTOMO UTOMO,ejaan/kapitalisasi/spasi,,10
JATI EMAS UNGGUL,CV. JATI EMAS UNGGUL,ejaan/kapitalisasi/spasi,,9
PT Carlindo Serasi Abadi,PT Carlindo Serasi Abadi,kanonik,,9
PT Gresik Cipta Sejahtera,PT Gresik Cipta Sejahtera,kanonik,,9
ADVANSIA INDOTANI,PT. ADVANSIA INDOTANI,ejaan/kapitalisasi/spasi,,9
PT. AGRO INSANI SEMESTA,PT. AGRO INSANI SEMESTA,kanonik,,9
BINA GUNA KIMIA,PT. BINA GUNA KIMIA,ejaan/kapitalisasi/spasi,,9
PT. BYTER AGRICULTURE INDONESIA,PT. BYTER AGRICULTURE INDONESIA,kanonik,,9
BIOSINDO MITRA JAYA,PT. Biosindo Mitra Jaya,ejaan/kapitalisasi/spasi,,9
PT. EUREEKAGREAT NUSANTARA,PT. EUREEKAGREAT NUSANTARA,kanonik,,9
PT. FERTA INDONESIA PERSADA,PT. FERTA INDONESIA PERSADA,kanonik,,9
GEMAH RIPAH LOH JINAWI INDUSTRI,PT. Gemah Ripah Loh Jinawi Industri,ejaan/kapitalisasi/spasi,,9
PT. Winon International,PT. Winon International,kanonik,,9
IMEXINDO NUSANTARA,CV IMEXINDO NUSANTARA,ejaan/kapitalisasi/spasi,,8
AGRINDO PERSADATAMA,CV. AGRINDO PERSADATAMA,ejaan/kapitalisasi/spasi,,8
CV. GOLDEN FARM INDONESIA,CV. GOLDEN FARM INDONESIA,kanonik,,8
CV.BUNGA TANI,CV.BUNGA TANI,kanonik,,8
AGRI HIKAY INDONESIA,PT AGRI HIKAY INDONESIA,ejaan/kapitalisasi/spasi,,8
PT. BIO SARANA INDONESIA,PT Bio Sarana Indonesia,tanda-baca,,8
PT SRI REJEKI FERTILIZER,PT SRI REJEKI FERTILIZER,kanonik,,8
TUNAS AGRO PERSADA,PT Tunas Agro Persada,ejaan/kapitalisasi/spasi,,8
AGRO GUNA MAKMUR,PT. AGRO GUNA MAKMUR,ejaan/kapitalisasi/spasi,,8
PT. ANDAFA AGRO INDO,PT. ANDAFA AGRO INDO,kanonik,,8
ANDAFA AGRO INDO,PT. ANDAFA AGRO INDO,ejaan/kapitalisasi/spasi,,8
Agro Bumi Timur,PT. Agro Bumi Timur,ejaan/kapitalisasi/spasi,,8
PT. BENIH BERKAH BERSERI,PT. BENIH BERKAH BERSERI,kanonik,,8
PT. DWIAGRI MAKMUR INTERTRADE,PT. DWIAGRI MAKMUR INTERTRADE,kanonik,,8
FERTA INDONESIA PERSADA,PT. FERTA INDONESIA PERSADA,ejaan/kapitalisasi/spasi,,8
MITRA FINEX ANTARNUSA,PT. MITRA FINEX ANTARNUSA,ejaan/kapitalisasi/spasi,,8
PT. MITRA FINEX ANTARNUSA,PT. MITRA FINEX ANTARNUSA,kanonik,,8
PERMATA NEGERI INDONESIA,PT. PERMATA NEGERI INDONESIA,ejaan/kapitalisasi/spasi,,8
POMAL BEKA MANDIRI,PT. POMAL BEKA MANDIRI,ejaan/kapitalisasi/spasi,,8
PT. RAJA GROUP INDONESIA,PT. RAJA GROUP INDONESIA,kanonik,,8
SAFEEKO BIO INDONESIA,PT. SAFEEKO BIO INDONESIA,ejaan/kapitalisasi/spasi,,8
SURYA CIPTA PERKASA YOGYAKARTA,PT. SURYA CIPTA PERKASA YOGYAKARTA,ejaan/kapitalisasi/spasi,,8
PT.Antariksa Nusantara Indonesia Group,PT.Antariksa Nusantara Indonesia Group,kanonik,,8
CAHAYA ABADI,CV. Cahaya Abadi,ejaan/kapitalisasi/spasi,,7
DANA INDO AGRI,CV. DANA INDO AGRI,ejaan/kapitalisasi/spasi,,7
CV. Nusa Nur Agro,CV. Nusa Nur Agro,kanonik,,7
EXINDO RAHARJA PRATAMA,PT Exindo Raharja Pratama,ejaan/kapitalisasi/spasi,,7
POLARCHEM,PT POLARCHEM,ejaan/kapitalisasi/spasi,,7
PT PUPUK SRIWIDJAJA PALEMBANG,PT PUPUK SRIWIDJAJA PALEMBANG,kanonik,,7
PT Pupuk Kujang,PT Pupuk Kujang,kanonik,,7
AGRICULTURE CONSTRUCTION,PT. AGRICULTURE CONSTRUCTION,ejaan/kapitalisasi/spasi,,7
PT. ALISHAN NUSA INDAH,PT. ALISHAN NUSA INDAH,kanonik,,7
AGRO TANI MARISI,PT. Agro Tani Marisi,ejaan/kapitalisasi/spasi,,7
PT. BERSAMA SATU TEGUH,PT. BERSAMA SATU TEGUH,kanonik,,7
PT. Bumi Subur Sentosa,PT. Bumi Subur Sentosa,kanonik,,7
FORMITRA MULTI PRAKARSA,PT. Formitra Multi Prakarsa,ejaan/kapitalisasi/spasi,,7
INDOIN BUSINESS GROUP,PT. INDOIN BUSINESS GROUP,ejaan/kapitalisasi/spasi,,7
MESTIKA NUSANTARA AGROKIMIA,PT. MESTIKA NUSANTARA AGROKIMIA,ejaan/kapitalisasi/spasi,,7
PT. SAFEEKO BIO INDONESIA,PT. SAFEEKO BIO INDONESIA,kanonik,,7
TAPAL KOEDA INDONESIA,PT. TAPAL KOEDA INDONESIA,ejaan/kapitalisasi/spasi,,7
BOMA SAKTI TANI,CV. BOMA SAKTI TANI,ejaan/kapitalisasi/spasi,,6
PT. CIPTA AGRIFARMERINDO,CV. Cipta Agrifarmerindo,beda-bentuk-badan,ya,6
CV. JATI EMAS UNGGUL,CV. JATI EMAS UNGGUL,kanonik,,6
KARYA TANI INDONESIA,CV. Karya Tani Indonesia,ejaan/kapitalisasi/spasi,,6
CV. Multi Agro Jaya Utama,CV. Multi Agro Jaya Utama,kanonik,,6
NOVIE AGRO INDUSTRI,CV. NOVIE AGRO INDUSTRI,ejaan/kapitalisasi/spasi,,6
AJINOMOTO INDONESIA,PT AJINOMOTO INDONESIA,ejaan/kapitalisasi/spasi,,6
PT Kertopaten Kencana,PT Kertopaten Kencana,kanonik,,6
TOYA INDO MANUNGGAL,PT TOYA INDO MANUNGGAL,ejaan/kapitalisasi/spasi,,6
PT. AGROLAND INDO SYNERGY,PT. AGROLAND INDO SYNERGY,kanonik,,6
AGROTECH PESTICIDE INDUSTRY,PT. AGROTECH PESTICIDE INDUSTRY,ejaan/kapitalisasi/spasi,,6
PT. ALFA BETA AGROCHEMICAL,PT. ALFA BETA AGROCHEMICAL,kanonik,,6
PT. ARENA HORMON INDONUSA,PT. ARENA HORMON INDONUSA,kanonik,,6
PT. ASIA KIMINDO PRIMA,PT. ASIA KIMINDO PRIMA,kanonik,,6
PT. Agro Nusantara Indonesia,PT. Agro Nusantara Indonesia,kanonik,,6
PT. Agspec Indonesia,PT. Agspec Indonesia,kanonik,,6
PT. BELIRANG KALISARI,PT. BELIRANG KALISARI,kanonik,,6
BESTANI AGRO SEJAHTERA,PT. BESTANI AGRO SEJAHTERA,ejaan/kapitalisasi/spasi,,6
BUMI TANI SUBUR,PT. BUMI TANI SUBUR,ejaan/kapitalisasi/spasi,,6
BANDUNG INOVASI ORGANIK,PT. Bandung Inovasi Organik,ejaan/kapitalisasi/spasi,,6
CENTRA AGRO PRATAMA,PT. Centra Agro Pratama,ejaan/kapitalisasi/spasi,,6
EUREEKAGREAT NUSANTARA,PT. EUREEKAGREAT NUSANTARA,ejaan/kapitalisasi/spasi,,6
PT. KUSUMA DIPA NUGRAHA,PT. KUSUMA DIPA NUGRAHA,kanonik,,6
PT. MULTI NIAGA NUSANTARA INDONESIA,PT. MULTI NIAGA NUSANTARA INDONESIA,kanonik,,6
PT. MULTIKIMIA AGRO SEJAHTERA,PT. MULTIKIMIA AGRO SEJAHTERA,kanonik,,6
PT. SOLUSI TANI INDONESIA,PT. SOLUSI TANI INDONESIA,kanonik,,6
PT. SUMBER AGRO PERKASA,PT. SUMBER AGRO PERKASA,kanonik,,6
PT. UTOMO UTOMO,PT. UTOMO UTOMO,kanonik,,6
ALL COSMOS INDONESIA,PT.ALL COSMOS INDONESIA,ejaan/kapitalisasi/spasi,,6
CV IMEXINDO NUSANTARA,CV IMEXINDO NUSANTARA,kanonik,,5
BUMI NUSANTARA,CV. BUMI NUSANTARA,ejaan/kapitalisasi/spasi,,5
BUMIKITA MAKMUR,CV. BUMIKITA MAKMUR,ejaan/kapitalisasi/spasi,,5
BAKTI ALAM NUSANTARA,CV. Bakti Alam Nusantara,ejaan/kapitalisasi/spasi,,5
CV. Javamas Agrophos,CV. Javamas Agrophos,kanonik,,5
CV. NUSA NUR AGRO,CV. Nusa Nur Agro,ejaan/kapitalisasi/spasi,,5
PRADIPTA PARAMITA,CV. PRADIPTA PARAMITA,ejaan/kapitalisasi/spasi,,5
GRESIK CIPTA SEJAHTERA,PT Gresik Cipta Sejahtera,ejaan/kapitalisasi/spasi,,5
PT. NUSAMAS KIMIA PERSADA,PT Nusamas Kimia Persada,tanda-baca,,5
PT Petrokimia Kayaku,PT Petrokimia Kayaku,kanonik,,5
PUPUK ISKANDAR MUDA,PT Pupuk Iskandar Muda,ejaan/kapitalisasi/spasi,,5
AGRO INSANI SEMESTA,PT. AGRO INSANI SEMESTA,ejaan/kapitalisasi/spasi,,5
PT. ANKEWA CHEMICAL INDONESIA,PT. ANKEWA CHEMICAL INDONESIA,kanonik,,5
PT. Agro Berjaya Nusantara,PT. Agro Berjaya Nusantara,kanonik,,5
AGSPEC INDONESIA,PT. Agspec Indonesia,ejaan/kapitalisasi/spasi,,5
PT. BINGEI AGUNG,PT. BINGEI AGUNG,kanonik,,5
DHARMA GUNA WIBAWA,PT. DHARMA GUNA WIBAWA,ejaan/kapitalisasi/spasi,,5
DWIAGRI MAKMUR INTERTRADE,PT. DWIAGRI MAKMUR INTERTRADE,ejaan/kapitalisasi/spasi,,5
PT. Dupan Anugerah Lestari,PT. Dupan Anugerah Lestari,kanonik,,5
PT. GOAUTAMA SINARBATUAH,PT. GOAUTAMA SINARBATUAH,kanonik,,5
PT. IRQ MAKMUR JAYA,PT. IRQ MAKMUR JAYA,kanonik,,5
MOLINDO RAYA INDUSTRIAL,PT. Molindo Raya Industrial,ejaan/kapitalisasi/spasi,,5
PROPADU KONAIR TARAHUBUN,PT. PROPADU KONAIR TARAHUBUN,ejaan/kapitalisasi/spasi,,5
RABANA AGRO RESOURCES,PT. RABANA AGRO RESOURCES,ejaan/kapitalisasi/spasi,,5
WONDERINDO PHARMATAMA,PT.WONDERINDO PHARMATAMA,ejaan/kapitalisasi/spasi,,5
ALAM HIJAU,CV Alam Hijau,ejaan/kapitalisasi/spasi,,4
